	name	latitude	longitude	scores	category	price	address
16197	WINDOWS(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.231121	121.46393	30.0	酒吧	64.0	静安区南京西路702号
17380	福朋喜来登酒店大堂吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.273718	121.452034	30.0	酒吧	119.0	闸北区共和新路1928号大宁福朋喜来登酒店1楼大堂
18144	Mokkos(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.225048	121.43363	50.0	酒吧	80.0	长宁区武定西路1245号103室
18379	Shanghai Studio(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.203873	121.43764	35.0	酒吧	80.0	徐汇区淮海中路1950弄4号
18591	Kiitos(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.210102	121.44371	40.0	酒吧	69.0	徐汇区永福路127号
19987	BM Club(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.236666	121.443695	30.0	酒吧	552.0	静安区余姚路34号同乐坊16号楼
20281	SKY Club(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.236721	121.44293	30.0	酒吧	577.0	静安区余姚路74号
21381	AARON 5 Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.20797	121.46932	35.0	酒吧	77.0	卢湾区泰康路258号田子坊15号
21406	吧39(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.219425	121.445335	40.0	酒吧	98.0	静安区华山路250号希尔顿酒店39楼
21964	M1NT(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.234528	121.4843	45.0	酒吧	436.0	黄浦区福州路318号浦汇大厦24楼
22090	Bell Cafe&Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.2087	121.46891	40.0	酒吧	86.0	卢湾区泰康路248弄11号后门
